endTimeMillis	responseTime	latency	sentBytes	receivedBytes	isSuccessful	responseCode
1716485265.325	278	22	27	5	isSuccessful	200
1716485265.436	110	11	27	5	isSuccessful	200
1716485265.546	110	44	27	5	isSuccessful	200
1716485265.767	221	22	27	5	isSuccessful	200
1716485266.023	256	17	27	5	isSuccessful	200
1716485266.197	173	26	27	5	isSuccessful	200
1716485266.434	237	34	27	5	isSuccessful	200
1716485266.632	197	2	27	5	isSuccessful	200
1716485266.837	205	32	27	5	isSuccessful	200
1716485266.890	53	4	27	5	isSuccessful	200
1716485266.999	452	1	27	5	isSuccessful	200
1716485267.296	406	50	27	5	isSuccessful	200
1716485267.297	297	21	27	5	isSuccessful	200
1716485267.346	50	4	27	5	isSuccessful	200
1716485267.523	226	21	27	5	isSuccessful	200
1716485267.640	294	7	27	5	isSuccessful	200
1716485267.839	199	50	27	5	isSuccessful	200
1716485267.857	333	20	27	5	isSuccessful	200
1716485268.176	319	43	27	5	isSuccessful	200
1716485268.303	464	10	27	5	isSuccessful	200
1716485268.420	373	36	27	5	isSuccessful	200
1716485268.514	338	13	27	5	isSuccessful	200
1716485268.600	86	23	27	5	isSuccessful	200
1716485268.647	343	10	27	5	isSuccessful	200
1716485268.651	231	46	27	5	isSuccessful	200
1716485268.827	227	46	27	5	isSuccessful	200
1716485269.027	376	43	27	5	isSuccessful	200
1716485269.058	411	11	27	5	isSuccessful	200
1716485269.086	259	47	27	5	isSuccessful	200
1716485269.503	476	30	27	5	isSuccessful	200
1716485269.505	447	12	27	5	isSuccessful	200
1716485269.554	467	1	27	5	isSuccessful	200
1716485269.677	130	34	27	5	isSuccessful	200
1716485269.765	259	5	27	5	isSuccessful	200
1716485269.784	230	14	27	5	isSuccessful	200
1716485269.904	400	44	27	5	isSuccessful	200
1716485270.079	402	37	27	5	isSuccessful	200
1716485270.127	343	36	27	5	isSuccessful	200
1716485270.185	420	7	27	5	isSuccessful	200
1716485270.340	436	11	27	5	isSuccessful	200
1716485270.465	386	12	27	5	isSuccessful	200
1716485270.471	344	18	27	5	isSuccessful	200
1716485270.489	304	13	27	5	isSuccessful	200
1716485270.681	209	43	27	5	isSuccessful	200
1716485270.718	378	26	27	5	isSuccessful	200
1716485270.761	296	47	27	5	isSuccessful	200
1716485270.838	348	7	27	5	isSuccessful	200
1716485270.913	152	19	27	5	isSuccessful	200
1716485270.935	217	25	27	5	isSuccessful	200
1716485270.978	297	44	27	5	isSuccessful	200
1716485271.103	168	35	27	5	isSuccessful	200
1716485271.215	112	46	27	5	isSuccessful	200
1716485271.242	196	28	27	5	isSuccessful	200
1716485271.251	338	36	27	5	isSuccessful	200
1716485271.335	496	28	27	5	isSuccessful	200
1716485271.342	91	9	27	5	isSuccessful	200
1716485271.405	427	25	27	5	isSuccessful	200
1716485271.526	191	28	27	5	isSuccessful	200
1716485271.534	319	13	27	5	isSuccessful	200
1716485271.608	203	49	27	5	isSuccessful	200
1716485271.662	54	42	27	5	isSuccessful	200
1716485271.681	147	25	27	5	isSuccessful	200
1716485271.735	492	24	27	5	isSuccessful	200
1716485271.787	445	5	27	5	isSuccessful	200
1716485271.858	123	47	27	5	isSuccessful	200
1716485271.986	460	4	27	5	isSuccessful	200
1716485272.008	326	40	27	5	isSuccessful	200
1716485272.025	167	4	27	5	isSuccessful	200
1716485272.027	364	15	27	5	isSuccessful	200
1716485272.140	353	33	27	5	isSuccessful	200
1716485272.222	214	48	27	5	isSuccessful	200
1716485272.275	135	18	27	5	isSuccessful	200
1716485272.280	58	33	27	5	isSuccessful	200
1716485272.289	302	22	27	5	isSuccessful	200
1716485272.325	298	24	27	5	isSuccessful	200
1716485272.413	387	14	27	5	isSuccessful	200
1716485272.463	187	33	27	5	isSuccessful	200
1716485272.578	289	11	27	5	isSuccessful	200
1716485272.669	389	34	27	5	isSuccessful	200
1716485272.685	138	37	27	5	isSuccessful	200
1716485272.726	263	16	27	5	isSuccessful	200
1716485272.774	361	2	27	5	isSuccessful	200
1716485272.820	495	36	27	5	isSuccessful	200
1716485272.945	366	41	27	5	isSuccessful	200
1716485272.990	216	15	27	5	isSuccessful	200
1716485273.065	379	20	27	5	isSuccessful	200
1716485273.077	351	23	27	5	isSuccessful	200
1716485273.095	425	12	27	5	isSuccessful	200
1716485273.125	305	2	27	5	isSuccessful	200
1716485273.235	245	49	27	5	isSuccessful	200
1716485273.265	170	46	27	5	isSuccessful	200
1716485273.350	84	14	27	5	isSuccessful	200
1716485273.391	446	25	27	5	isSuccessful	200
1716485273.469	392	9	27	5	isSuccessful	200
1716485273.503	438	42	27	5	isSuccessful	200
1716485273.539	303	46	27	5	isSuccessful	200
1716485273.607	482	36	27	5	isSuccessful	200
1716485273.725	256	12	27	5	isSuccessful	200
1716485273.759	256	14	27	5	isSuccessful	200
1716485273.780	430	17	27	5	isSuccessful	200
1716485273.818	427	24	27	5	isSuccessful	200
1716485273.861	322	28	27	5	isSuccessful	200
1716485273.864	256	27	27	5	isSuccessful	200
1716485273.910	184	22	27	5	isSuccessful	200
1716485274.064	200	10	27	5	isSuccessful	200
1716485274.122	58	23	27	5	isSuccessful	200
1716485274.138	379	29	27	5	isSuccessful	200
1716485274.168	387	21	27	5	isSuccessful	200
1716485274.185	275	49	27	5	isSuccessful	200
1716485274.189	328	12	27	5	isSuccessful	200
1716485274.216	398	33	27	5	isSuccessful	200
1716485274.246	107	2	27	5	isSuccessful	200
1716485274.267	98	48	27	5	isSuccessful	200
1716485274.276	60	27	27	5	isSuccessful	200
1716485274.300	110	47	27	5	isSuccessful	200
1716485274.320	73	21	27	5	isSuccessful	200
1716485274.439	392	49	27	5	isSuccessful	200
1716485274.504	183	41	27	5	isSuccessful	200
1716485274.549	427	26	27	5	isSuccessful	200
1716485274.564	287	50	27	5	isSuccessful	200
1716485274.574	273	31	27	5	isSuccessful	200
1716485274.602	416	37	27	5	isSuccessful	200
1716485274.651	383	15	27	5	isSuccessful	200
1716485274.675	72	26	27	5	isSuccessful	200
1716485274.685	181	39	27	5	isSuccessful	200
1716485274.760	211	43	27	5	isSuccessful	200
1716485274.910	471	44	27	5	isSuccessful	200
1716485274.937	177	38	27	5	isSuccessful	200
1716485274.969	284	23	27	5	isSuccessful	200
1716485274.975	401	2	27	5	isSuccessful	200
1716485275.013	449	18	27	5	isSuccessful	200
1716485275.125	450	49	27	5	isSuccessful	200
1716485275.139	488	9	27	5	isSuccessful	200
1716485275.160	191	36	27	5	isSuccessful	200
1716485275.295	358	15	27	5	isSuccessful	200
1716485275.349	374	24	27	5	isSuccessful	200
1716485275.368	242	27	27	5	isSuccessful	200
1716485275.381	471	1	27	5	isSuccessful	200
1716485275.436	296	35	27	5	isSuccessful	200
1716485275.465	452	48	27	5	isSuccessful	200
1716485275.553	172	23	27	5	isSuccessful	200
1716485275.591	223	25	27	5	isSuccessful	200
1716485275.638	172	35	27	5	isSuccessful	200
1716485275.650	214	16	27	5	isSuccessful	200
1716485275.658	497	21	27	5	isSuccessful	200
1716485275.691	53	3	27	5	isSuccessful	200
1716485275.735	440	2	27	5	isSuccessful	200
1716485275.806	253	44	27	5	isSuccessful	200
1716485275.816	225	17	27	5	isSuccessful	200
1716485275.839	489	11	27	5	isSuccessful	200
1716485275.871	324	40	27	5	isSuccessful	200
1716485275.952	261	2	27	5	isSuccessful	200
1716485276.032	226	2	27	5	isSuccessful	200
1716485276.066	416	11	27	5	isSuccessful	200
1716485276.067	228	19	27	5	isSuccessful	200
1716485276.074	339	23	27	5	isSuccessful	200
1716485276.087	429	17	27	5	isSuccessful	200
1716485276.147	60	17	27	5	isSuccessful	200
1716485276.160	93	23	27	5	isSuccessful	200
1716485276.206	140	11	27	5	isSuccessful	200
1716485276.260	444	28	27	5	isSuccessful	200
1716485276.271	64	31	27	5	isSuccessful	200
1716485276.296	264	7	27	5	isSuccessful	200
1716485276.321	174	43	27	5	isSuccessful	200
1716485276.345	73	43	27	5	isSuccessful	200
1716485276.357	96	13	27	5	isSuccessful	200
1716485276.358	486	42	27	5	isSuccessful	200
1716485276.415	255	35	27	5	isSuccessful	200
1716485276.434	360	18	27	5	isSuccessful	200
1716485276.440	82	44	27	5	isSuccessful	200
1716485276.450	497	45	27	5	isSuccessful	200
1716485276.500	155	41	27	5	isSuccessful	200
1716485276.541	244	31	27	5	isSuccessful	200
1716485276.573	132	10	27	5	isSuccessful	200
1716485276.585	134	18	27	5	isSuccessful	200
1716485276.625	268	21	27	5	isSuccessful	200
1716485276.656	241	38	27	5	isSuccessful	200
1716485276.691	118	14	27	5	isSuccessful	200
1716485276.701	116	21	27	5	isSuccessful	200
1716485276.773	452	8	27	5	isSuccessful	200
1716485276.774	339	8	27	5	isSuccessful	200
1716485276.792	167	17	27	5	isSuccessful	200
1716485276.865	364	50	27	5	isSuccessful	200
1716485276.875	83	21	27	5	isSuccessful	200
1716485276.939	248	50	27	5	isSuccessful	200
1716485276.964	88	12	27	5	isSuccessful	200
1716485277.009	353	4	27	5	isSuccessful	200
1716485277.018	477	45	27	5	isSuccessful	200
1716485277.078	377	42	27	5	isSuccessful	200
1716485277.132	358	3	27	5	isSuccessful	200
1716485277.139	175	6	27	5	isSuccessful	200
1716485277.156	290	36	27	5	isSuccessful	200
1716485277.235	461	48	27	5	isSuccessful	200
1716485277.300	290	30	27	5	isSuccessful	200
1716485277.332	286	38	27	5	isSuccessful	200
1716485277.352	413	31	27	5	isSuccessful	200
1716485277.374	139	20	27	5	isSuccessful	200
1716485277.379	301	33	27	5	isSuccessful	200
1716485277.398	242	23	27	5	isSuccessful	200
1716485277.414	62	15	27	5	isSuccessful	200
1716485277.438	420	41	27	5	isSuccessful	200
1716485277.489	75	23	27	5	isSuccessful	200
1716485277.504	125	1	27	5	isSuccessful	200
1716485277.567	267	17	27	5	isSuccessful	200
1716485277.591	452	17	27	5	isSuccessful	200
1716485277.600	226	21	27	5	isSuccessful	200
1716485277.612	174	16	27	5	isSuccessful	200
1716485277.617	485	24	27	5	isSuccessful	200
1716485277.663	264	25	27	5	isSuccessful	200
1716485277.683	66	28	27	5	isSuccessful	200
1716485277.766	434	30	27	5	isSuccessful	200
1716485277.863	200	9	27	5	isSuccessful	200
1716485277.864	360	23	27	5	isSuccessful	200
1716485277.907	307	36	27	5	isSuccessful	200
1716485277.918	351	14	27	5	isSuccessful	200
1716485277.935	446	35	27	5	isSuccessful	200
1716485277.982	391	19	27	5	isSuccessful	200
1716485278.012	329	1	27	5	isSuccessful	200
1716485278.023	116	21	27	5	isSuccessful	200
1716485278.067	455	5	27	5	isSuccessful	200
1716485278.097	179	46	27	5	isSuccessful	200
1716485278.165	230	20	27	5	isSuccessful	200
1716485278.229	162	7	27	5	isSuccessful	200
1716485278.240	375	10	27	5	isSuccessful	200
1716485278.243	477	22	27	5	isSuccessful	200
1716485278.357	493	2	27	5	isSuccessful	200
1716485278.358	346	27	27	5	isSuccessful	200
1716485278.392	295	28	27	5	isSuccessful	200
1716485278.405	422	48	27	5	isSuccessful	200
1716485278.450	206	21	27	5	isSuccessful	200
1716485278.500	477	36	27	5	isSuccessful	200
1716485278.616	451	27	27	5	isSuccessful	200
1716485278.630	225	45	27	5	isSuccessful	200
1716485278.637	279	22	27	5	isSuccessful	200
1716485278.638	398	3	27	5	isSuccessful	200
1716485278.671	442	25	27	5	isSuccessful	200
1716485278.683	290	3	27	5	isSuccessful	200
1716485278.814	364	32	27	5	isSuccessful	200
1716485278.821	462	18	27	5	isSuccessful	200
1716485278.949	401	49	27	5	isSuccessful	200
1716485278.989	489	50	27	5	isSuccessful	200
1716892703786,301,Dummy Sampler,200,OK,🛠 Scenario4 (Thread Group) 3-1,text,true,,14,0,1,2,null,46,0,5
1716892703765,388,Login,200,OK,🛠 Thread Group 1-1,text,true,,21,0,1,2,null,41,0,3
1716892704115,200,Dummy Sampler,200,OK,🛠 Scenario4 (Thread Group) 3-1,text,true,,19,0,1,2,null,37,0,3
1716892704156,464,Register,200,OK,🛠 Thread Group 1-1,text,true,,20,0,1,2,null,29,0,5
